time,open,high,low,close,volume
2024-12-26T00:00:00.000Z,1.25134,1.25194,1.25059,1.25193,0
2025-01-02T00:00:00.000Z,1.2519,1.25756,1.23205,1.23582,0
2025-01-09T00:00:00.000Z,1.23582,1.23649,1.20992,1.22419,0
2025-01-16T00:00:00.000Z,1.22418,1.23756,1.21583,1.23134,0
2025-01-23T00:00:00.000Z,1.23134,1.25229,1.2293,1.24542,0
2025-01-30T00:00:00.000Z,1.24541,1.25496,1.22488,1.25008,0
2025-02-06T00:00:00.000Z,1.25007,1.2509,1.23321,1.24502,0
2025-02-13T00:00:00.000Z,1.24507,1.26398,1.2442,1.2583,0
2025-02-20T00:00:00.000Z,1.25829,1.27153,1.258,1.26803,0
2025-02-27T00:00:00.000Z,1.26801,1.29004,1.25589,1.28895,0
2025-03-06T00:00:00.000Z,1.28893,1.29887,1.28612,1.2964,0
2025-03-13T00:00:00.000Z,1.29639,1.30113,1.29106,1.301,0
2025-03-20T00:00:00.000Z,1.30099,1.30144,1.28704,1.28768,0
2025-03-27T00:00:00.000Z,1.28766,1.30249,1.28761,1.30068,0
2025-04-03T00:00:00.000Z,1.30075,1.32073,1.27079,1.28226,0
2025-04-10T00:00:00.000Z,1.28229,1.32917,1.28096,1.32364,0
2025-04-17T00:00:00.000Z,1.32366,1.34235,1.32021,1.32673,0
2025-04-24T00:00:00.000Z,1.32674,1.34438,1.32585,1.3324,0
2025-05-01T00:00:00.000Z,1.33242,1.34024,1.32593,1.3286,0
2025-05-08T00:00:00.000Z,1.32862,1.336,1.31394,1.32643,0
2025-05-15T00:00:00.000Z,1.32646,1.34687,1.32503,1.34047,0
2025-05-22T00:00:00.000Z,1.34045,1.35929,1.33905,1.3466,0
2025-05-29T00:00:00.000Z,1.34661,1.35797,1.34148,1.35502,0
2025-06-05T00:00:00.000Z,1.35506,1.36161,1.3456,1.35655,0
2025-06-12T00:00:00.000Z,1.35656,1.3632,1.34004,1.34204,0
2025-06-19T00:00:00.000Z,1.34206,1.36714,1.33701,1.36659,0
2025-06-26T00:00:00.000Z,1.36659,1.37885,1.35622,1.36542,0
2025-07-03T00:00:00.000Z,1.36541,1.36811,1.35256,1.35891,0
2025-07-10T00:00:00.000Z,1.35893,1.36192,1.33646,1.34133,0
2025-07-17T00:00:00.000Z,1.34138,1.35856,1.33739,1.35826,0
2025-07-24T00:00:00.000Z,1.35829,1.35883,1.32257,1.32535,0
2025-07-31T00:00:00.000Z,1.32529,1.3368,1.3141,1.33579,0
2025-08-07T00:00:00.000Z,1.3358,1.35848,1.33456,1.35798,0
2025-08-14T00:00:00.000Z,1.35798,1.35945,1.34474,1.34551,0
2025-08-21T00:00:00.000Z,1.34549,1.3544,1.33905,1.34988,0
2025-08-28T00:00:00.000Z,1.34986,1.35496,1.33331,1.34386,0
2025-09-04T00:00:00.000Z,1.34385,1.35902,1.34162,1.35377,0
2025-09-11T00:00:00.000Z,1.35378,1.37261,1.34919,1.3629,0
2025-09-18T00:00:00.000Z,1.36293,1.36605,1.34263,1.34502,0
2025-09-25T00:00:00.000Z,1.34508,1.35273,1.33235,1.34787,0
2025-10-02T00:00:00.000Z,1.34789,1.35101,1.33707,1.34061,0
2025-10-09T00:00:00.000Z,1.34063,1.34186,1.32484,1.34033,0
2025-10-16T00:00:00.000Z,1.34035,1.34714,1.33054,1.33555,0
2025-10-23T00:00:00.000Z,1.33559,1.33716,1.31398,1.31945,0
2025-10-30T00:00:00.000Z,1.31944,1.32185,1.30098,1.30518,0
2025-11-06T00:00:00.000Z,1.30516,1.31909,1.30503,1.31274,0
2025-11-13T00:00:00.000Z,1.31275,1.32157,1.30432,1.30596,0
2025-11-20T00:00:00.000Z,1.30597,1.32487,1.30377,1.32443,0
2025-11-27T00:00:00.000Z,1.32443,1.33538,1.31794,1.33474,0
2025-12-04T00:00:00.000Z,1.33473,1.33911,1.3287,1.33881,0
2025-12-11T00:00:00.000Z,1.33883,1.3456,1.33114,1.33733,0
2025-12-18T00:00:00.000Z,1.33734,1.3534,1.33408,1.34913,0
