time,open,high,low,close,volume
2025-01-01T00:00:00.000Z,157.151,157.776,157.151,157.7,0
2025-01-02T00:00:00.000Z,157.7,157.849,156.435,157.353,0
2025-01-03T00:00:00.000Z,157.359,157.49,156.87,157.242,0
2025-01-05T00:00:00.000Z,157.18,157.527,157.139,157.504,0
2025-01-06T00:00:00.000Z,157.505,157.959,156.24,157.737,0
2025-01-07T00:00:00.000Z,157.737,158.423,157.362,158.223,0
2025-01-08T00:00:00.000Z,158.22,158.55,157.898,158.188,0
2025-01-09T00:00:00.000Z,158.186,158.324,157.574,158.041,0
2025-01-10T00:00:00.000Z,158.04,158.877,157.222,157.657,0
2025-01-12T00:00:00.000Z,157.596,157.93,157.596,157.909,0
2025-01-13T00:00:00.000Z,157.909,157.964,156.91,157.305,0
2025-01-14T00:00:00.000Z,157.309,158.195,157.032,158.045,0
2025-01-15T00:00:00.000Z,158.053,158.082,155.935,156.219,0
2025-01-16T00:00:00.000Z,156.218,156.528,155.086,155.364,0
2025-01-17T00:00:00.000Z,155.363,156.372,154.977,156.241,0
2025-01-19T00:00:00.000Z,156.187,156.58,156.154,156.306,0
2025-01-20T00:00:00.000Z,156.313,156.46,155.159,155.271,0
2025-01-21T00:00:00.000Z,155.272,156.232,154.772,155.74,0
2025-01-22T00:00:00.000Z,155.74,156.706,155.35,156.431,0
2025-01-23T00:00:00.000Z,156.431,156.751,155.742,156.135,0
2025-01-24T00:00:00.000Z,156.133,156.575,154.837,155.92,0
2025-01-26T00:00:00.000Z,155.675,155.831,155.569,155.72,0
2025-01-27T00:00:00.000Z,155.719,156.244,153.71,154.914,0
2025-01-28T00:00:00.000Z,154.912,155.976,154.793,155.56,0
2025-01-29T00:00:00.000Z,155.563,155.787,154.937,155.176,0
2025-01-30T00:00:00.000Z,155.174,155.203,153.788,154.086,0
2025-01-31T00:00:00.000Z,154.088,155.217,153.91,155.182,0
2025-02-02T00:00:00.000Z,154.771,155.43,154.755,155.344,0
2025-02-03T00:00:00.000Z,155.358,155.882,154.004,155.268,0
2025-02-04T00:00:00.000Z,155.263,155.521,154.03,154.131,0
2025-02-05T00:00:00.000Z,154.132,154.355,152.109,152.65,0
2025-02-06T00:00:00.000Z,152.648,152.897,151.152,151.166,0
2025-02-07T00:00:00.000Z,151.167,152.421,150.927,151.377,0
2025-02-09T00:00:00.000Z,151.198,151.88,151.156,151.872,0
2025-02-10T00:00:00.000Z,151.875,152.536,151.567,151.788,0
2025-02-11T00:00:00.000Z,151.786,152.767,151.647,152.765,0
2025-02-12T00:00:00.000Z,152.765,154.801,152.726,154.232,0
2025-02-13T00:00:00.000Z,154.23,154.664,152.688,152.985,0
2025-02-14T00:00:00.000Z,152.996,153.097,152.023,152.254,0
2025-02-16T00:00:00.000Z,152.2,152.391,151.965,152.006,0
2025-02-17T00:00:00.000Z,152.004,152.113,151.23,151.436,0
2025-02-18T00:00:00.000Z,151.435,152.219,151.413,151.92,0
2025-02-19T00:00:00.000Z,151.92,152.306,151.119,151.218,0
2025-02-20T00:00:00.000Z,151.218,151.232,149.274,149.478,0
2025-02-21T00:00:00.000Z,149.478,150.732,148.922,149.262,0
2025-02-23T00:00:00.000Z,149.175,149.403,149.09,149.399,0
2025-02-24T00:00:00.000Z,149.401,149.91,148.841,149.908,0
2025-02-25T00:00:00.000Z,149.909,150.298,148.562,149.049,0
2025-02-26T00:00:00.000Z,149.047,149.884,148.618,148.876,0
2025-02-27T00:00:00.000Z,148.877,150.161,148.781,150.084,0
2025-02-28T00:00:00.000Z,150.086,150.987,149.098,150.545,0
2025-03-02T00:00:00.000Z,150.644,151.019,150.632,150.806,0
2025-03-03T00:00:00.000Z,150.807,151.301,149.097,149.306,0
2025-03-04T00:00:00.000Z,149.317,149.97,148.096,149.827,0
2025-03-05T00:00:00.000Z,149.824,150.182,148.392,148.882,0
2025-03-06T00:00:00.000Z,148.88,149.331,147.308,148.145,0
2025-03-07T00:00:00.000Z,148.146,148.198,146.944,148.018,0
2025-03-09T00:00:00.000Z,147.908,147.946,147.386,147.585,0
2025-03-10T00:00:00.000Z,147.584,147.79,146.628,147.076,0
2025-03-11T00:00:00.000Z,147.076,148.118,146.538,148.049,0
2025-03-12T00:00:00.000Z,148.048,149.194,147.844,148.29,0
2025-03-13T00:00:00.000Z,148.294,148.37,147.411,147.936,0
2025-03-14T00:00:00.000Z,147.922,149.02,147.846,148.606,0
2025-03-16T00:00:00.000Z,148.753,148.839,148.46,148.602,0
2025-03-17T00:00:00.000Z,148.605,149.396,148.26,149.395,0
