time,open,high,low,close,volume
2024-01-02T05:00:00.000Z,2063.5,2073.699951171875,2057.10009765625,2064.39990234375,61
2024-01-03T05:00:00.000Z,2034.199951171875,2044,2034.199951171875,2034.199951171875,54
2024-01-04T05:00:00.000Z,2041.5999755859375,2044.5,2038,2042.300048828125,88
2024-01-05T05:00:00.000Z,2044.5,2048.10009765625,2042.4000244140625,2042.4000244140625,12
2024-01-08T05:00:00.000Z,2019.0999755859375,2033.699951171875,2019.0999755859375,2026.5999755859375,10
2024-01-09T05:00:00.000Z,2035.800048828125,2035.800048828125,2026.4000244140625,2026.4000244140625,27
2024-01-10T05:00:00.000Z,2029,2035.5999755859375,2021.699951171875,2021.699951171875,538
2024-01-11T05:00:00.000Z,2025.0999755859375,2025.0999755859375,2014.300048828125,2014.300048828125,97
2024-01-12T05:00:00.000Z,2031.0999755859375,2057,2031.0999755859375,2046.699951171875,390
2024-01-16T05:00:00.000Z,2051.699951171875,2054.800048828125,2026,2026,46
2024-01-17T05:00:00.000Z,2026.5,2026.5,2002.5999755859375,2002.5999755859375,764
2024-01-18T05:00:00.000Z,2012.800048828125,2018.5999755859375,2009.5,2018.5999755859375,1474
2024-01-19T05:00:00.000Z,2023.199951171875,2036,2019.5,2026.5,50
2024-01-22T05:00:00.000Z,2021.300048828125,2021.300048828125,2019.800048828125,2019.800048828125,12
2024-01-23T05:00:00.000Z,2030.300048828125,2030.300048828125,2022.5,2023.699951171875,15
2024-01-24T05:00:00.000Z,2023.199951171875,2033.199951171875,2013.9000244140625,2013.9000244140625,253
2024-01-25T05:00:00.000Z,2012.0999755859375,2022.4000244140625,2012.0999755859375,2016.9000244140625,548
2024-01-26T05:00:00.000Z,2021.699951171875,2022.4000244140625,2016.800048828125,2016.800048828125,49
2024-01-29T05:00:00.000Z,2025.199951171875,2025.199951171875,2025.199951171875,2025.199951171875,150708
2024-01-30T05:00:00.000Z,2032.5,2048.5,2028.0999755859375,2031.5,26907
2024-01-31T05:00:00.000Z,2035.4000244140625,2055,2030,2048.39990234375,2007
2024-02-01T05:00:00.000Z,2040.199951171875,2064.5,2029,2053,947
2024-02-02T05:00:00.000Z,2054.800048828125,2055.89990234375,2027.699951171875,2036.0999755859375,888
2024-02-05T05:00:00.000Z,2038.9000244140625,2040.800048828125,2013.800048828125,2025.699951171875,412
2024-02-06T05:00:00.000Z,2025.9000244140625,2037.300048828125,2025.9000244140625,2034.5,249
2024-02-07T05:00:00.000Z,2032.800048828125,2039.5,2032.699951171875,2035.199951171875,71
2024-02-08T05:00:00.000Z,2028,2036.699951171875,2020.300048828125,2032.199951171875,341
2024-02-09T05:00:00.000Z,2032,2032,2020,2023.300048828125,62
2024-02-12T05:00:00.000Z,2025.5,2025.5,2011.5999755859375,2018.199951171875,317
2024-02-13T05:00:00.000Z,2025.0999755859375,2025.800048828125,1990,1992.9000244140625,198
