time,open,high,low,close,volume
2024-12-26T00:00:00.000Z,2625.098,2626.005,2621.475,2623.555,0
2025-01-02T00:00:00.000Z,2623.655,2669.844,2614.365,2662.475,0
2025-01-09T00:00:00.000Z,2662.475,2697.709,2655.305,2694.625,0
2025-01-16T00:00:00.000Z,2694.625,2763.205,2689.308,2755.188,0
2025-01-23T00:00:00.000Z,2755.098,2785.825,2730.529,2760.035,0
2025-01-30T00:00:00.000Z,2760.035,2882.215,2758.475,2868.985,0
2025-02-06T00:00:00.000Z,2868.985,2942.665,2833.955,2905.498,0
2025-02-13T00:00:00.000Z,2905.498,2946.865,2876.805,2935.085,0
2025-02-20T00:00:00.000Z,2935.125,2956.035,2888.085,2918.995,0
2025-02-27T00:00:00.000Z,2918.975,2929.748,2832.455,2918.165,0
2025-03-06T00:00:00.000Z,2918.145,2940.348,2879.935,2937.925,0
2025-03-13T00:00:00.000Z,2937.925,3051.758,2932.768,3049.875,0
2025-03-20T00:00:00.000Z,3049.895,3057.245,2999.268,3021.395,0
2025-03-27T00:00:00.000Z,3021.368,3148.835,3021.355,3145.558,0
2025-04-03T00:00:00.000Z,3145.668,3167.548,2956.125,3079.515,0
2025-04-10T00:00:00.000Z,3079.509,3357.455,3078.105,3350.575,0
2025-04-17T00:00:00.000Z,3350.785,3499.915,3259.485,3308.745,0
2025-04-24T00:00:00.000Z,3308.785,3370.065,3264.785,3273.255,0
2025-05-01T00:00:00.000Z,3273.249,3437.655,3201.685,3369.285,0
2025-05-08T00:00:00.000Z,3369.485,3414.705,3167.545,3182.195,0
2025-05-15T00:00:00.000Z,3182.315,3324.748,3120.205,3317.748,0
2025-05-22T00:00:00.000Z,3317.848,3365.798,3276.075,3286.248,0
2025-05-29T00:00:00.000Z,3285.985,3391.935,3245.198,3373.258,0
2025-06-05T00:00:00.000Z,3373.235,3403.178,3293.198,3368.698,0
2025-06-12T00:00:00.000Z,3368.665,3451.085,3338.385,3374.948,0
2025-06-19T00:00:00.000Z,3374.855,3396.648,3295.098,3332.998,0
2025-06-26T00:00:00.000Z,3332.935,3365.455,3244.925,3361.648,0
2025-07-03T00:00:00.000Z,3361.648,3363.545,3282.425,3319.398,0
2025-07-10T00:00:00.000Z,3319.365,3377.185,3309.905,3349.198,0
2025-07-17T00:00:00.000Z,3349.105,3438.655,3309.575,3386.448,0
2025-07-24T00:00:00.000Z,3386.305,3393.165,3267.955,3278.598,0
2025-07-31T00:00:00.000Z,3278.698,3390.289,3277.498,3371.598,0
2025-08-07T00:00:00.000Z,3371.545,3408.675,3330.898,3357.388,0
2025-08-14T00:00:00.000Z,3357.298,3374.555,3311.255,3349.348,0
2025-08-21T00:00:00.000Z,3349.315,3398.775,3321.045,3395.415,0
2025-08-28T00:00:00.000Z,3395.385,3578.175,3384.445,3561.348,0
2025-09-04T00:00:00.000Z,3561.229,3673.645,3510.425,3639.448,0
2025-09-11T00:00:00.000Z,3639.759,3707.308,3611.465,3662.648,0
2025-09-18T00:00:00.000Z,3662.648,3790.865,3627.465,3740.695,0
2025-09-25T00:00:00.000Z,3740.695,3895.145,3721.915,3861.775,0
2025-10-02T00:00:00.000Z,3861.485,4059.098,3819.095,4021.048,0
2025-10-09T00:00:00.000Z,4021.048,4217.995,3943.788,4212.848,0
2025-10-16T00:00:00.000Z,4212.809,4381.298,4003.298,4101.518,0
2025-10-23T00:00:00.000Z,4101.578,4154.435,3886.199,3952.465,0
2025-10-30T00:00:00.000Z,3952.495,4045.925,3915.065,3973.515,0
2025-11-06T00:00:00.000Z,3973.475,4211.495,3964.355,4190.975,0
2025-11-13T00:00:00.000Z,4190.965,4244.925,3997.658,4104.165,0
2025-11-20T00:00:00.000Z,4104.265,4173.145,4022.075,4164.248,0
2025-11-27T00:00:00.000Z,4163.825,4264.385,4142.425,4206.985,0
2025-12-04T00:00:00.000Z,4206.955,4259.105,4169.845,4232.225,0
2025-12-11T00:00:00.000Z,4232.235,4353.325,4203.905,4338.648,0
2025-12-18T00:00:00.000Z,4338.648,4525.765,4308.285,4479.029,0
