time,open,high,low,close,volume
2023-12-28T00:00:00.000Z,140.843,143.731,140.811,142.995,0
2024-01-04T00:00:00.000Z,142.995,145.976,142.853,145.723,0
2024-01-11T00:00:00.000Z,145.724,148.524,144.354,148.134,0
2024-01-18T00:00:00.000Z,148.134,148.802,146.648,147.586,0
2024-01-25T00:00:00.000Z,147.585,148.333,146.007,147.006,0
2024-02-01T00:00:00.000Z,147.005,148.892,145.896,148.085,0
2024-02-08T00:00:00.000Z,148.086,150.883,147.93,150.556,0
2024-02-15T00:00:00.000Z,150.555,150.645,149.523,150.339,0
2024-02-22T00:00:00.000Z,150.338,150.842,150.015,150.658,0
2024-02-29T00:00:00.000Z,150.656,150.72,149.094,149.261,0
2024-03-07T00:00:00.000Z,149.259,149.259,146.481,147.589,0
2024-03-14T00:00:00.000Z,147.588,151.816,147.43,150.738,0
2024-03-21T00:00:00.000Z,150.737,151.97,150.263,151.293,0
2024-03-28T00:00:00.000Z,151.292,151.953,151.149,151.585,0
2024-04-04T00:00:00.000Z,151.586,153.238,150.81,152.912,0
2024-04-11T00:00:00.000Z,152.913,154.784,152.59,154.274,0
2024-04-18T00:00:00.000Z,154.275,155.372,153.586,155.224,0
2024-04-25T00:00:00.000Z,155.224,160.203,152.989,155.431,0
2024-05-02T00:00:00.000Z,155.431,156.283,151.857,155.585,0
2024-05-09T00:00:00.000Z,155.583,156.783,154.502,154.557,0
2024-05-16T00:00:00.000Z,154.556,156.84,153.598,156.743,0
2024-05-23T00:00:00.000Z,156.743,157.707,156.528,157.638,0
2024-05-30T00:00:00.000Z,157.637,157.663,154.548,155.885,0
2024-06-06T00:00:00.000Z,155.883,157.402,155.119,156.803,0
2024-06-13T00:00:00.000Z,156.802,158.255,156.579,158.003,0
2024-06-20T00:00:00.000Z,158.003,160.865,157.92,160.696,0
2024-06-27T00:00:00.000Z,160.696,161.949,160.261,161.599,0
2024-07-04T00:00:00.000Z,161.599,161.804,160.26,161.594,0
2024-07-11T00:00:00.000Z,161.592,161.758,155.993,156.159,0
2024-07-18T00:00:00.000Z,156.155,157.862,153.105,153.594,0
2024-07-25T00:00:00.000Z,153.59,155.213,149.606,150.17,0
2024-08-01T00:00:00.000Z,150.17,150.89,141.676,146.524,0
2024-08-08T00:00:00.000Z,146.523,148.222,145.426,147.288,0
2024-08-15T00:00:00.000Z,147.284,149.396,144.45,144.891,0
2024-08-22T00:00:00.000Z,144.887,146.525,143.444,144.293,0
2024-08-29T00:00:00.000Z,144.294,147.207,143.509,143.621,0
2024-09-05T00:00:00.000Z,143.62,144.228,140.707,142.457,0
2024-09-12T00:00:00.000Z,142.454,143.044,139.576,142.107,0
2024-09-19T00:00:00.000Z,142.107,144.841,141.736,144.647,0
2024-09-26T00:00:00.000Z,144.648,146.91,141.642,146.593,0
2024-10-03T00:00:00.000Z,146.593,149.365,145.918,149.232,0
2024-10-10T00:00:00.000Z,149.23,149.981,148.226,149.572,0
2024-10-17T00:00:00.000Z,149.573,153.185,149.086,152.75,0
2024-10-24T00:00:00.000Z,152.749,153.879,151.452,153.239,0
2024-10-31T00:00:00.000Z,153.238,154.697,151.283,154.31,0
2024-11-07T00:00:00.000Z,154.307,155.622,152.139,155.416,0
2024-11-14T00:00:00.000Z,155.416,156.746,153.279,155.272,0
2024-11-21T00:00:00.000Z,155.271,155.299,150.453,151.337,0
2024-11-28T00:00:00.000Z,151.338,151.948,148.646,150.547,0
2024-12-05T00:00:00.000Z,150.547,152.856,149.36,152.254,0
2024-12-12T00:00:00.000Z,152.242,154.864,151.798,154.665,0
2024-12-19T00:00:00.000Z,154.663,157.924,154.463,157.121,0
