time,open,high,low,close,volume
2024-12-26T00:00:00.000Z,1.03503,1.03577,1.03462,1.03507,0
2025-01-02T00:00:00.000Z,1.03508,1.04367,1.02237,1.03132,0
2025-01-09T00:00:00.000Z,1.03133,1.03544,1.01772,1.0295,0
2025-01-16T00:00:00.000Z,1.0295,1.04573,1.02604,1.04077,0
2025-01-23T00:00:00.000Z,1.04076,1.0533,1.03719,1.04245,0
2025-01-30T00:00:00.000Z,1.04244,1.04677,1.02103,1.03985,0
2025-02-06T00:00:00.000Z,1.03985,1.04298,1.02839,1.0392,0
2025-02-13T00:00:00.000Z,1.0392,1.0514,1.03727,1.04206,0
2025-02-20T00:00:00.000Z,1.04205,1.05287,1.04185,1.04876,0
2025-02-27T00:00:00.000Z,1.04877,1.07965,1.03597,1.07941,0
2025-03-06T00:00:00.000Z,1.07942,1.09471,1.07655,1.08852,0
2025-03-13T00:00:00.000Z,1.08852,1.09545,1.08222,1.09115,0
2025-03-20T00:00:00.000Z,1.09116,1.09171,1.07328,1.07409,0
2025-03-27T00:00:00.000Z,1.07411,1.09242,1.07407,1.08384,0
2025-04-03T00:00:00.000Z,1.08386,1.11462,1.08373,1.09599,0
2025-04-10T00:00:00.000Z,1.09601,1.14736,1.09427,1.13991,0
2025-04-17T00:00:00.000Z,1.13991,1.15729,1.13077,1.13319,0
2025-04-24T00:00:00.000Z,1.13318,1.14248,1.13155,1.13252,0
2025-05-01T00:00:00.000Z,1.13254,1.13808,1.12657,1.13008,0
2025-05-08T00:00:00.000Z,1.1301,1.13361,1.10651,1.11824,0
2025-05-15T00:00:00.000Z,1.11827,1.13628,1.11308,1.1315,0
2025-05-22T00:00:00.000Z,1.13149,1.14185,1.12558,1.12912,0
2025-05-29T00:00:00.000Z,1.12916,1.14544,1.12103,1.14196,0
2025-06-05T00:00:00.000Z,1.14197,1.15084,1.13715,1.15055,0
2025-06-12T00:00:00.000Z,1.15057,1.16311,1.14608,1.148,0
2025-06-19T00:00:00.000Z,1.14802,1.1665,1.14461,1.1659,0
2025-06-26T00:00:00.000Z,1.16594,1.18298,1.16591,1.17979,0
2025-07-03T00:00:00.000Z,1.1798,1.181,1.16825,1.17243,0
2025-07-10T00:00:00.000Z,1.17244,1.17494,1.15623,1.16362,0
2025-07-17T00:00:00.000Z,1.16363,1.17751,1.15566,1.17731,0
2025-07-24T00:00:00.000Z,1.17734,1.17887,1.14008,1.14226,0
2025-07-31T00:00:00.000Z,1.14227,1.16683,1.13915,1.16635,0
2025-08-07T00:00:00.000Z,1.16633,1.17301,1.159,1.17081,0
2025-08-14T00:00:00.000Z,1.1708,1.17157,1.16221,1.16525,0
2025-08-21T00:00:00.000Z,1.16522,1.17425,1.1574,1.16431,0
2025-08-28T00:00:00.000Z,1.16432,1.17362,1.16081,1.166,0
2025-09-04T00:00:00.000Z,1.16601,1.17799,1.16298,1.17028,0
2025-09-11T00:00:00.000Z,1.17028,1.19186,1.16589,1.18189,0
2025-09-18T00:00:00.000Z,1.18193,1.18482,1.17262,1.17445,0
2025-09-25T00:00:00.000Z,1.17444,1.17785,1.16454,1.17335,0
2025-10-02T00:00:00.000Z,1.17336,1.17591,1.15983,1.16333,0
2025-10-09T00:00:00.000Z,1.16333,1.16519,1.1542,1.1646,0
2025-10-16T00:00:00.000Z,1.16463,1.17283,1.15767,1.16121,0
2025-10-23T00:00:00.000Z,1.16126,1.16686,1.15773,1.16028,0
2025-10-30T00:00:00.000Z,1.16027,1.16374,1.14687,1.14957,0
2025-11-06T00:00:00.000Z,1.14956,1.16057,1.1493,1.15915,0
2025-11-13T00:00:00.000Z,1.15915,1.16559,1.15178,1.15392,0
2025-11-20T00:00:00.000Z,1.15392,1.16021,1.14909,1.16017,0
2025-11-27T00:00:00.000Z,1.16018,1.16775,1.1555,1.16661,0
2025-12-04T00:00:00.000Z,1.16662,1.17027,1.16149,1.17013,0
2025-12-11T00:00:00.000Z,1.17013,1.1804,1.16821,1.17414,0
2025-12-18T00:00:00.000Z,1.17415,1.18079,1.17021,1.17714,0
